"The delivery date is not confirmed yet. Please contact us for more information.","The delivery date is not confirmed yet. Please contact us for more information."
"Your delivery is estimated to be performed on %1.","Your delivery is estimated to be performed on %1."
"Select delivery slot.","Select delivery slot."
"Order will be delivered","Order will be delivered"
"Slot is not available anymore. Please select another delivery slot.","Slot is not available anymore. Please select another delivery slot."
